FILENAME,websites,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
121747.txt,https://www.lcibarcelona.com,27,www.lcibarcelona.com,20,0,com,100,1,0.5229071,0.069095062,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,2048,684,1,lcibarcelona,100,100,0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,1,59,6,28,169,39,87,1
525234.txt,https://www.bakonline.org,24,www.bakonline.org,17,0,org,100,1,0.0799628,0.063455658,3,1,0,0,0,11,0.458,0,0,0,0,0,1,0.042,1,1496,9381,1,bakonline,100,100,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,50,19,30,126,0,121,1
424054.txt,https://www.ababo.it,19,www.ababo.it,12,0,it,100,1,0.012178,0.062383737,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,1086,780,1,ababo,100,100,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,25,2,3,90,0,7,1
144226.txt,https://www.philosophyforlife.org,32,www.philosophyforlife.org,25,0,org,100,1,0.0799628,0.054309246,3,1,0,0,0,19,0.594,0,0,0,0,0,1,0.031,1,2913,14867,1,philosophyflife,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,19,3,14,61,0,20,1
437154.txt,https://www.heavyliftpfi.com,27,www.heavyliftpfi.com,20,0,com,100,1,0.5229071,0.048110902,3,1,0,0,0,14,0.519,0,0,0,0,0,1,0.037,1,1250,14202,1,heavyliftpfi,100,100,1,1,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,16,4,15,92,7,89,1
398920.txt,https://www.livanustikls.lv,26,www.livanustikls.lv,19,0,lv,100,1,0.0004411,0.047640623,2,1,0,0,0,13,0.5,0,0,0,0,0,1,0.038,1,277,2130,1,ivanustiks,0,0,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,3,5,11,26,4,6,1
245446.txt,https://www.storyapp.de,22,www.storyapp.de,15,0,de,100,1,0.0326503,0.05003545,2,1,0,0,0,9,0.409,0,0,0,0,0,1,0.045,1,3980,13315,1,storyapp,100,100,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,23,2,12,12,0,11,1
618899.txt,https://www.beautyalchemist.com,30,www.beautyalchemist.com,23,0,com,100,1,0.5229071,0.059754779,3,1,0,0,0,17,0.567,0,0,0,0,0,1,0.033,1,4034,7821,1,beautyalchemist,100,100,1,0,0,0,0,0,4,8,0,1,0,0,0,0,0,0,1,16,4,12,214,0,287,1
134534.txt,https://www.coinb.in,19,www.coinb.in,12,0,in,100,1,0.0050842,0.063689231,2,1,0,0,0,6,0.316,0,0,0,0,0,1,0.053,1,1659,470,1,conb,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,4,3,18,0,4,20,1
oph00573.txt,http://7kjxxlh4dkdmsb2hym8nf81npunsj58oqlit4ovzpgh4rpmlik3twsxej.pages.dev/,74,7kjxxlh4dkdmsb2hym8nf81npunsj58oqlit4ovzpgh4rpmlik3twsxej.pages.dev,67,0,dev,7.62255448,0.142857143,0.0009613,0.032174244,3,1,0,0,0,54,0.73,11,0.149,0,0,0,2,0.027,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
